"hanyu","pinyin","english"
"法律","fa3 lv4","n. law"
"俩","lia3","num.-m. two, both"
"印象","yin4 xiang4","n. impression"
"深","shen1","adj. deep"
"熟悉","shu2 xi","v. to be familiar with"
"不仅","bu4 jin3","conj. not only"
"性格","xing4 ge2","n. character, personality"
"孙月","sun1 yue4","Sun Yue, name of a person"
"王静","wang3 jing4","Wang Jing, name of a person"
"李进","li3 jin4","Li Jin, name of a person"
"开玩笑","kai1 wan2 xiao4","v. to be kidding"
"从来","cong2 lai2","adv. always, all along"
"最好","zui4 hao3","adv. had better"
"共同","gong4 tong2","adj. common, shared"
"适合","shi4 he2","v. to suit, to fit"
"幸福","xing4 fu2","adj. happy"
"李","li3","Li, a Chinese family name"
"生活","sheng1 huo2","n./v. life, to live"
"刚","gang1","adv. just, not long"
"浪漫","lang4 man4","adj. romantic"
"够","gou4","v. to be enough"
"缺点","que1 dian3","n. shortcoming"
"接受","jie1 shou4","v. to accept"
"高","gao1","Gao, a Chinese family name"
"羡慕","xian4 mu4","v. to envy, to admire"
"爱情","ai4 qing2","n. love (between a man and a woman)"
"星星","xing1 xing","n. star"
"即使","ji2 shi3","conj. even if"
"加班","jia1 ban1","v. to work overtime"
"亮","liang4","v. to shine, to be lit"
"感动","gan3 dong4","v. to touch, to move"
"自然","zi4 ran2","adv. naturally, certainly"
"原因","yuan2 yin1","n. reason"
"互相","hu4 xiang1","adv. mutually"
"吸引","xi1 yin3","v. to attract"
"幽默","you1 mo4","adj. humorous"
"脾气","pi2 qi","n. temper, disposition"
"适应","shi4 ying4","v. to get used to"
"交","jiao1","v. to make (friends)"
"平时","ping2 shi2","n. normal times"
"逛","guang4","v. to stroll, to roam"
"短信","duan3 xin4","n. text message"
"正好","zheng4 hao3","adv. just in time, just right"
"夏","xia4","Xia, a Chinese family name"
"马克","ma3 ke4","Mark"
"聚会","ju4 hui4","v./n. to have a party; party, get-together"
"联系","lian2 xi4","v. to contact"
"差不多","cha4 bu duo1","adv. almost"
"专门","zhuan1 men2","adv. specially"
"毕业","bi4 ye4","v. to graduate"
"麻烦","ma2 fan","v. to bother"
"林","lin2","Lin, a Chinese family name"
"张远","zhang1 yuan3","Zhang Yuan, name of a person"
"上海","shang4 hai3","Shanghai, a city of China"
"好像","hao3 xiang4","adv. as if"
"重新","chong2 xin1","adv. again, once more"
"尽管","jin3 guan3","conj. although"
"真正","zhen1 zheng4","adj. true, real"
"友谊","you3 yi4","n. friendship"
"丰富","feng1 fu4","v. to enrich"
"无聊","wu2 liao2","adj. boring"
"讨厌","tao3 yan4","v. to dislike"
"却","que4","adv. but, yet"
"周围","zhou1 wei2","n. surrounding"
"交流","jiao1 liu2","v. to exchange, to communicate"
"理解","li3 jie3","v. to understand"
"镜子","jing4 zi","n. mirror"
"而","er2","conj. (showing a contrast) while, yet"
"当","dang1","prep. when, just at (a time or place)"
"困难","kun4 nan","n. difficulty"
"及时","ji2 shi2","adv. in time"
"陪","pei2","v. to accompany"
