"hanyu","pinyin","english"
"图书馆","tu2 shu1 guan3","n. library"
"借","jie4","v. to borrow, to lend"
"词典","ci2 dian3","n. dictionary"
"还","huan2","v. to return"
"灯","deng1","n. light, lamp"
"会议","hui4 yi4","n. meeting, conference"
"结束","jie2 shu4","v. to end, to finish"
"忘记","wang4 ji4","v. to forget"
"空调","kong1 tiao2","n. air conditioner"
"关","guan1","v. to turn off, to close"
"地铁","di4 tie3","n. subway"
"双","shuang1","m. pair"
"筷子","kuai4 zi","n. chopsticks"
"啤酒","pi2 jiu3","n. beer"
"口","kou3","m. mouthful"
"瓶子","ping2 zi","n. bottle"
"笔记本电脑","bi3 ji4 ben3 dian4 nao3","n. notebook, laptop"
"电子邮件","dian4 zi3 you2 jian4","e-mail"
"习惯","xi2 guan4","v./n. to be used to; habit"
"太阳","tai4 yang2","n. sun"
"西","xi1","n. west"
"生气","sheng1 qi4","v. angry"
"行李箱","xing2 li xiang1","n. luggage, suitcase"
"自己","zi4 ji3","pron. self"
"包","bao1","n. bag, sack"
"发现","fa1 xian4","v. to discover"
"护照","hu4 zhao4","n. passport"
"起飞","qi3 fei1","v. (of an aircraft) to take off"
"司机","si1 ji1","n. driver"
"教","jiao1","v. to teach"
"画","hua4","v./n. to draw, to paint; drawing, painting"
"需要","xu1 yao4","v. to need"
"黑板","hei1 ban3","n. blackboard"
"终于","zhong1 yu2","adv. finally"
"爷爷","ye2 ye","n. grandfather"
"礼物","li3 wu4","n. gift, present"
"奶奶","nai3 nai","n. grandmother"
"遇到","yu4 dao4","v. to come across, to run into"
"一边","yi4 bian1","adv. indicating two actions taking place at the same time"
"过去","guo4 qu4","n. past"
"一般","yi4 ban1","adj. general, usual"
"愿意","yuan4 yi4","v. would like to"
"起来","qi3 lai","v. (indicating an upward movement) to rise"
"应该","ying1 gai1","v. should"
"生活","sheng1 huo2","n. life"
"校长","xiao4 zhang3","n. headmaster"
"坏","huai4","adj. broken, ruined"
"经常","jing1 chang2","adv. often"
"打扫","da3 sao3","v. to clean, to sweep"
"干净","gan1 jing4","adj. clean"
"然后","ran2 hou4","conj. then, after that"
"冰箱","bing1 xiang1","n. refrigerator"
"洗澡","xi3 zao3","v. to take a bath/shower"
"节目","jie2 mu4","n. programme"
"月亮","yue4 liang","n. moon"
"像","xiang4","v. to be like"
"盘子","pan2 zi","n. plate"
"刮风","gua1 feng1","v. to be windy"
"叔叔","shu1 shu1","n. uncle"
"阿姨","a1 yi2","n. aunt"
"故事","gu4 shi","n. story"
